"CNT","SCHOOLID","SHORTMATH","SHORTSCI","STDTEST","SCHLSIZE","PCGIRLS","SCHLTYPE","STRATIO","STIDSTD","GRADE","SEX","MATHINT","MATHUTIL","MATHCONF","MATHANX","COGLEARN","METACOG"
"RUS",1,1,1,2,1174,0.478,3,15.865,1,10,2,3.5,2.25,2.125,3,3,2.8
"RUS",1,1,1,2,1174,0.478,3,15.865,2,10,1,3.25,2,1.5,3.16666666666667,3,2.2
"RUS",1,1,1,2,1174,0.478,3,15.865,3,10,2,2.25,3,1.375,2.66666666666667,2.2,2
"RUS",1,1,1,2,1174,0.478,3,15.865,4,10,1,3,2.5,2.625,2.33333333333333,2.8,2.2
"RUS",1,1,1,2,1174,0.478,3,15.865,5,10,2,2.25,2.66666666666667,2,2.83333333333333,2.2,2.2
"RUS",1,1,1,2,1174,0.478,3,15.865,6,10,1,3,1.25,2.375,1.83333333333333,2.8,2.4
"RUS",1,1,1,2,1174,0.478,3,15.865,7,9,2,3,2.25,2.625,2.2,2.4,2
"RUS",1,1,1,2,1174,0.478,3,15.865,8,10,2,3.75,3.25,2.375,3,2.6,2.2
"RUS",1,1,1,2,1174,0.478,3,15.865,9,11,2,4,2.25,2.875,1.83333333333333,3.4,3
"RUS",1,1,1,2,1174,0.478,3,15.865,10,10,2,2.75,1.5,2,2.6,2.2,2
"RUS",1,1,1,2,1174,0.478,3,15.865,11,10,2,3,3.33333333333333,2.625,2.66666666666667,2.6,2.8
"RUS",1,1,1,2,1174,0.478,3,15.865,12,10,2,3.25,2.75,2.125,2.16666666666667,2.2,2
"RUS",1,1,1,2,1174,0.478,3,15.865,13,10,2,2.5,1.75,1,4,1,1
"RUS",1,1,1,2,1174,0.478,3,15.865,14,9,2,3,2,2.25,2.83333333333333,2,1.8
"RUS",1,1,1,2,1174,0.478,3,15.865,15,10,2,2.5,2.5,1.5,2.5,1.8,1.4
"RUS",1,1,1,2,1174,0.478,3,15.865,16,10,1,2.5,2.25,2.75,2.83333333333333,2.2,2.2
"RUS",1,1,1,2,1174,0.478,3,15.865,17,10,1,3,2.5,2.125,2.33333333333333,2.6,2
"RUS",1,1,1,2,1174,0.478,3,15.865,18,10,1,1,1,2,2.5,1.8,1.75
"RUS",1,1,1,2,1174,0.478,3,15.865,19,9,2,2.25,2,2.25,3,2.2,2.4
"RUS",1,1,1,2,1174,0.478,3,15.865,20,10,1,3.25,3.5,1.375,2.33333333333333,2.6,2.4
"RUS",1,1,1,2,1174,0.478,3,15.865,21,9,2,2.75,2.75,2.625,2.83333333333333,2.2,2
"RUS",1,1,1,2,1174,0.478,3,15.865,22,10,2,2.75,2.25,2.375,2.33333333333333,2.4,2.8
"RUS",1,1,1,2,1174,0.478,3,15.865,23,10,1,3,2.25,2.25,2.33333333333333,2.6,2
"RUS",1,1,1,2,1174,0.478,3,15.865,24,10,1,2.75,2.5,2.5,2.83333333333333,3,2.4
"RUS",1,1,1,2,1174,0.478,3,15.865,25,10,1,3,2.25,2.25,2.66666666666667,3,2.4
"RUS",1,1,1,2,1174,0.478,3,15.865,26,10,1,3,2,2.5,2,2.6,2.2
"RUS",1,1,1,2,1174,0.478,3,15.865,27,10,1,3.5,3,2.125,2.83333333333333,2.8,2.8
"RUS",1,1,1,2,1174,0.478,3,15.865,28,10,1,3,3.25,2.875,1.83333333333333,3.2,2.8
"RUS",1,1,1,2,1174,0.478,3,15.865,29,9,1,2,1,2,2.83333333333333,2.6,2.4
"RUS",1,1,1,2,1174,0.478,3,15.865,30,10,1,3,3,2.85714285714286,1,2.2,1.8
"RUS",1,1,1,2,1174,0.478,3,15.865,31,10,2,3.25,1,2.25,3,2.2,2.4
"RUS",1,1,1,2,1174,0.478,3,15.865,32,10,1,1.75,1.25,1.875,2.5,1.2,1.6
"RUS",1,1,1,2,1174,0.478,3,15.865,33,9,2,3,3,3.28571428571429,1.66666666666667,2.66666666666667,2.4
"RUS",1,1,1,2,1174,0.478,3,15.865,34,9,1,2.25,1.25,1.875,3.16666666666667,2.2,1.4
